Complexity,Loss,Equation
1,0.52724093,"0.9708175"
3,0.40897784,"sqrt(exp(x3))"
4,0.36778593,"exp(x3 * 0.3544308)"
5,0.3537466,"(x3 * 0.4178787) + 0.9690192"
6,0.3204856,"sqrt(exp(sin(x7 + x3)))"
7,0.2621657,"sin(x7 + sin(x3)) + 0.97401714"
8,0.24069,"sin(sin(x5 + sin(x3))) + 0.9727436"
9,0.21936563,"sin((x5 * 1.3029945) + sin(x3)) + 0.9771603"
10,0.20671502,"(x5 + sin(x3 - (x5 * 1.5750715))) + 0.9659247"
11,0.1789262,"sin(x5 + sin(x3 - (x5 * 1.6834999))) + 0.97048134"
13,0.17886487,"sin(x5 + sin(x3 - ((x7 - 0.01209585) * 1.6828942))) + 0.9631665"
15,0.17880967,"sin((sin((x3 - x7) - (x7 * 0.67659897)) + x5) * 0.97649497) + 0.97029996"
16,0.17283249,"(x1 * 0.078857146) + (sin(sin((x3 - x7) - sin(x7)) + x7) + 0.9717045)"
18,0.17200278,"sin(((x5 + sin((x3 - x7) - sin(x7))) + (x1 * 0.11799987)) * 0.93634486) + 0.9713281"
19,0.17130794,"sin(((x1 * 0.12022023) + sin((x3 - x7) - (x5 * 0.63401484))) + (x5 * 0.9452602)) + 0.97057617"
20,0.16943938,"sin((sin((x3 - x5) - sin((x1 * 0.24426897) + x5)) + (x1 * 0.18001008)) + x5) + 0.9730466"
